userid,softwaredevelopment,frontenddev,backenddev,fullstack,mobiledevelopment,webapplicationdevelopment,degreeid
489,sd1,fe1,be0,fs0,md0,wd0,DID01
490,sd1,fe1,be0,fs0,md0,wd0,DID01
491,sd1,fe1,be0,fs0,md0,wd0,DID01
492,sd1,fe0,be1,fs0,md0,wd0,DID02
493,sd1,fe0,be1,fs0,md0,wd0,DID01
494,sd1,fe0,be1,fs0,md0,wd0,DID02
495,sd1,fe0,be1,fs0,md0,wd0,DID01
496,sd1,fe0,be1,fs0,md0,wd0,DID02
497,sd1,fe0,be0,fs1,md0,wd0,DID02
498,sd1,fe0,be0,fs1,md0,wd0,DID02
499,sd1,fe0,be0,fs1,md0,wd0,DID02
500,sd1,fe0,be0,fs1,md0,wd0,DID02
501,sd1,fe0,be0,fs1,md0,wd0,DID01
502,sd1,fe0,be0,fs1,md0,wd0,DID02
503,sd1,fe0,be0,fs0,md1,wd0,DID02
504,sd1,fe0,be0,fs0,md1,wd0,DID02
505,sd1,fe0,be0,fs0,md1,wd0,DID02
506,sd1,fe0,be0,fs0,md1,wd0,DID02
507,sd1,fe0,be0,fs0,md1,wd0,DID02
508,sd1,fe0,be0,fs0,md1,wd0,DID02
509,sd1,fe0,be0,fs0,md1,wd0,DID02
510,sd1,fe0,be0,fs1,md0,wd0,DID01
511,sd1,fe0,be0,fs1,md0,wd0,DID02
512,sd1,fe1,be0,fs0,md0,wd0,DID02
513,sd1,fe1,be0,fs0,md0,wd0,DID01
514,sd1,fe1,be0,fs0,md0,wd0,DID02
515,sd1,fe0,be1,fs0,md0,wd0,DID02
516,sd1,fe0,be1,fs0,md0,wd0,DID02
517,sd1,fe0,be1,fs0,md0,wd0,DID02
518,sd1,fe0,be1,fs0,md0,wd0,DID02
519,sd1,fe0,be0,fs0,md1,wd0,DID01
520,sd1,fe0,be0,fs0,md1,wd0,DID01
521,sd1,fe0,be0,fs0,md0,wd0,DID01
522,sd1,fe0,be0,fs0,md0,wd0,DID02
523,sd1,fe0,be0,fs0,md0,wd0,DID02
524,sd1,fe0,be0,fs0,md0,wd0,DID02
525,sd1,fe0,be0,fs0,md0,wd0,DID01
526,sd1,fe0,be0,fs0,md0,wd0,DID02
527,sd1,fe0,be0,fs1,md0,wd0,DID02
528,sd1,fe0,be0,fs1,md0,wd0,DID02
529,sd1,fe0,be0,fs1,md0,wd0,DID02
530,sd1,fe0,be0,fs1,md0,wd0,DID02
531,sd1,fe0,be0,fs1,md0,wd0,DID02
532,sd1,fe0,be0,fs1,md0,wd0,DID02
533,sd1,fe1,be0,fs0,md0,wd0,DID02
534,sd1,fe1,be0,fs0,md0,wd0,DID02
535,sd1,fe1,be0,fs0,md0,wd0,DID02
536,sd0,fe0,be0,fs0,md0,wd0,DID03
537,sd0,fe0,be0,fs0,md0,wd0,DID03
538,sd0,fe0,be0,fs0,md0,wd0,DID03
539,sd0,fe0,be0,fs0,md0,wd0,DID03
540,sd0,fe0,be0,fs0,md0,wd0,DID03
541,sd0,fe0,be0,fs0,md0,wd0,DID03
542,sd0,fe0,be0,fs0,md0,wd0,DID03
543,sd0,fe0,be0,fs0,md0,wd0,DID03
544,sd0,fe0,be0,fs0,md0,wd0,DID03
545,sd0,fe0,be0,fs0,md0,wd0,DID03
546,sd0,fe0,be0,fs0,md0,wd0,DID03
547,sd0,fe0,be0,fs0,md0,wd0,DID03
548,sd0,fe0,be0,fs0,md0,wd0,DID03
549,sd0,fe0,be0,fs0,md0,wd0,DID03
550,sd0,fe0,be0,fs0,md0,wd0,DID03
551,sd0,fe0,be0,fs0,md0,wd0,DID03
552,sd0,fe0,be0,fs1,md0,wd0,DID02
553,sd0,fe0,be0,fs1,md0,wd0,DID02
554,sd0,fe0,be0,fs1,md0,wd0,DID02
555,sd0,fe0,be0,fs1,md0,wd0,DID02
556,sd0,fe0,be0,fs1,md0,wd0,DID02
557,sd0,fe0,be0,fs1,md0,wd0,DID02
558,sd0,fe0,be1,fs0,md0,wd0,DID02
559,sd0,fe0,be1,fs0,md0,wd0,DID02
560,sd0,fe0,be1,fs0,md0,wd0,DID02
561,sd0,fe0,be1,fs0,md0,wd0,DID02
562,sd0,fe0,be1,fs0,md0,wd0,DID02
563,sd0,fe0,be1,fs0,md0,wd0,DID02
564,sd0,fe0,be1,fs0,md0,wd0,DID02
565,sd0,fe0,be1,fs0,md0,wd0,DID02
566,sd0,fe0,be0,fs0,md1,wd0,DID02
567,sd0,fe0,be0,fs0,md1,wd0,DID02
568,sd0,fe0,be0,fs0,md0,wd0,DID03
569,sd0,fe0,be0,fs0,md1,wd0,DID02
570,sd0,fe0,be0,fs0,md1,wd0,DID02
571,sd0,fe0,be0,fs0,md1,wd0,DID01
572,sd0,fe0,be0,fs0,md0,wd0,DID03
573,sd0,fe0,be0,fs0,md0,wd0,DID03
574,sd0,fe0,be1,fs0,md0,wd0,DID02
575,sd0,fe0,be1,fs0,md0,wd0,DID01
576,sd0,fe0,be0,fs0,md0,wd0,DID03
577,sd0,fe0,be1,fs0,md0,wd0,DID02
578,sd0,fe0,be0,fs0,md0,wd0,DID03
579,sd0,fe0,be0,fs0,md0,wd0,DID03
580,sd0,fe0,be0,fs0,md1,wd1,DID02
581,sd0,fe0,be0,fs0,md1,wd1,DID02
582,sd0,fe0,be0,fs0,md1,wd1,DID01
583,sd0,fe0,be0,fs0,md1,wd1,DID02
584,sd0,fe0,be0,fs0,md1,wd1,DID02
585,sd0,fe0,be0,fs0,md1,wd0,DID01
586,sd0,fe0,be0,fs0,md1,wd0,DID01
587,sd0,fe0,be0,fs0,md1,wd0,DID01
588,sd0,fe0,be0,fs1,md0,wd0,DID02
589,sd0,fe0,be0,fs1,md0,wd0,DID01
590,sd0,fe1,be0,fs0,md0,wd0,DID02
591,sd0,fe0,be0,fs0,md1,wd0,DID02
592,sd0,fe0,be0,fs1,md0,wd0,DID02
593,sd0,fe0,be0,fs1,md0,wd0,DID01
594,sd0,fe1,be0,fs0,md0,wd0,DID01
595,sd0,fe0,be0,fs0,md1,wd0,DID02
596,sd0,fe0,be0,fs0,md1,wd0,DID01
597,sd0,fe0,be0,fs0,md1,wd0,DID02
598,sd0,fe0,be0,fs0,md1,wd0,DID01
599,sd0,fe0,be0,fs0,md1,wd0,DID01
600,sd0,fe0,be0,fs0,md1,wd1,DID02
601,sd0,fe0,be0,fs0,md1,wd1,DID02
602,sd0,fe0,be0,fs0,md1,wd1,DID02
603,sd0,fe0,be0,fs0,md1,wd1,DID01
604,sd0,fe0,be0,fs0,md1,wd1,DID02
605,sd0,fe0,be0,fs0,md1,wd0,DID02
606,sd0,fe0,be0,fs0,md1,wd0,DID01
607,sd0,fe0,be0,fs0,md1,wd1,DID02
608,sd0,fe0,be0,fs0,md1,wd1,DID01
609,sd0,fe0,be0,fs0,md1,wd1,DID01
610,sd0,fe0,be0,fs0,md1,wd1,DID02
611,sd0,fe0,be0,fs0,md1,wd1,DID01
612,sd0,fe0,be0,fs0,md1,wd0,DID03
613,sd0,fe0,be0,fs0,md1,wd0,DID01
614,sd0,fe0,be0,fs0,md0,wd0,DID03
615,sd0,fe0,be0,fs0,md1,wd0,DID03
616,sd0,fe0,be0,fs0,md1,wd0,DID01
617,sd0,fe0,be0,fs0,md0,wd0,DID03
618,sd0,fe0,be0,fs0,md0,wd0,DID03
619,sd0,fe0,be0,fs0,md0,wd0,DID03
620,sd0,fe0,be0,fs0,md0,wd0,DID03
621,sd0,fe0,be0,fs0,md1,wd0,DID01
622,sd0,fe0,be0,fs0,md0,wd0,DID03
623,sd0,fe0,be0,fs0,md0,wd0,DID03
624,sd0,fe0,be0,fs0,md1,wd0,DID03
625,sd0,fe0,be0,fs0,md0,wd0,DID03
626,sd0,fe0,be0,fs0,md0,wd0,DID03
627,sd0,fe0,be0,fs0,md1,wd1,DID03
628,sd0,fe0,be0,fs0,md1,wd1,DID01
629,sd0,fe0,be0,fs0,md1,wd1,DID03
630,sd0,fe0,be0,fs0,md1,wd1,DID03
631,sd0,fe0,be0,fs0,md1,wd1,DID03
632,sd0,fe0,be0,fs0,md0,wd0,DID03
633,sd0,fe0,be0,fs0,md1,wd0,DID01
634,sd0,fe0,be0,fs0,md0,wd0,DID03
635,sd0,fe0,be0,fs0,md0,wd0,DID03
636,sd0,fe0,be0,fs0,md1,wd1,DID01
637,sd0,fe0,be0,fs0,md1,wd1,DID03
638,sd0,fe0,be0,fs0,md0,wd0,DID03
639,sd0,fe0,be0,fs0,md1,wd1,DID01
640,sd0,fe0,be0,fs0,md0,wd0,DID03
641,sd0,fe0,be0,fs0,md1,wd1,DID03
642,sd0,fe0,be0,fs0,md0,wd0,DID03
643,sd0,fe0,be0,fs0,md1,wd0,DID01
644,sd0,fe0,be0,fs0,md1,wd0,DID01
645,sd0,fe0,be0,fs0,md1,wd0,DID03
646,sd0,fe0,be0,fs0,md0,wd0,DID03
647,sd0,fe0,be0,fs0,md0,wd0,DID03
648,sd0,fe0,be0,fs0,md0,wd0,DID03
649,sd0,fe0,be0,fs0,md1,wd1,DID03
650,sd0,fe0,be0,fs0,md1,wd1,DID01
651,sd0,fe0,be0,fs0,md0,wd0,DID03
652,sd0,fe0,be0,fs0,md1,wd1,DID03
653,sd0,fe0,be0,fs0,md0,wd0,DID03
654,sd0,fe0,be0,fs0,md1,wd1,DID01
655,sd0,fe0,be0,fs0,md0,wd0,DID03
656,sd0,fe0,be0,fs0,md1,wd1,DID02
657,sd0,fe0,be0,fs0,md1,wd1,DID02
658,sd0,fe0,be0,fs0,md1,wd1,DID02
659,sd0,fe0,be0,fs0,md1,wd1,DID02
660,sd0,fe0,be0,fs0,md1,wd1,DID02
661,sd0,fe0,be0,fs0,md0,wd0,DID02
662,sd0,fe0,be0,fs0,md0,wd0,DID02
663,sd0,fe0,be0,fs0,md1,wd0,DID02
664,sd0,fe0,be0,fs0,md1,wd0,DID02
665,sd0,fe0,be0,fs0,md1,wd0,DID02
666,sd0,fe0,be0,fs0,md1,wd0,DID02
667,sd0,fe0,be0,fs0,md0,wd0,DID02
668,sd0,fe0,be0,fs0,md0,wd0,DID02
669,sd0,fe0,be0,fs0,md0,wd0,DID01
670,sd0,fe0,be0,fs0,md0,wd0,DID02
671,sd0,fe0,be0,fs0,md0,wd0,DID01
672,sd0,fe0,be0,fs0,md0,wd0,DID01
673,sd0,fe0,be0,fs0,md0,wd0,DID01
674,sd0,fe0,be0,fs0,md0,wd0,DID02
675,sd0,fe0,be0,fs0,md0,wd0,DID01
676,sd0,fe0,be0,fs0,md1,wd0,DID02
677,sd0,fe0,be0,fs0,md1,wd0,DID02
678,sd0,fe0,be0,fs0,md1,wd0,DID02
679,sd0,fe0,be0,fs0,md0,wd0,DID02
680,sd0,fe0,be0,fs0,md0,wd0,DID03
681,sd0,fe0,be0,fs0,md0,wd0,DID03
682,sd0,fe0,be0,fs0,md0,wd0,DID03
683,sd0,fe0,be0,fs0,md0,wd0,DID03
684,sd0,fe0,be0,fs0,md0,wd0,DID03
685,sd0,fe0,be0,fs0,md0,wd0,DID03
686,sd0,fe0,be0,fs0,md0,wd0,DID03
687,sd0,fe0,be0,fs0,md0,wd0,DID03
688,sd0,fe0,be0,fs0,md0,wd0,DID03
689,sd0,fe0,be0,fs0,md0,wd0,DID03
690,sd0,fe0,be0,fs0,md0,wd0,DID03
691,sd0,fe0,be0,fs0,md0,wd0,DID03
692,sd0,fe0,be0,fs0,md0,wd0,DID03
693,sd0,fe0,be0,fs0,md0,wd0,DID03
694,sd0,fe0,be0,fs0,md0,wd0,DID02
695,sd0,fe0,be0,fs0,md0,wd0,DID02
696,sd0,fe0,be0,fs0,md1,wd0,DID02
697,sd0,fe0,be0,fs0,md0,wd0,DID01
698,sd0,fe0,be0,fs0,md1,wd0,DID02
699,sd0,fe0,be0,fs0,md0,wd0,DID02
700,sd0,fe0,be0,fs0,md0,wd0,DID02
701,sd0,fe0,be0,fs0,md0,wd0,DID01
702,sd0,fe0,be0,fs0,md0,wd0,DID02
703,sd0,fe0,be0,fs0,md0,wd0,DID02
704,sd0,fe0,be0,fs0,md0,wd0,DID02
705,sd0,fe0,be0,fs0,md0,wd0,DID02
706,sd0,fe0,be0,fs0,md0,wd0,DID01
707,sd0,fe0,be0,fs0,md1,wd0,DID01
708,sd0,fe0,be0,fs0,md0,wd0,DID02
709,sd0,fe0,be0,fs0,md1,wd0,DID02
710,sd0,fe0,be0,fs0,md1,wd0,DID01
711,sd0,fe0,be0,fs0,md1,wd0,DID02
712,sd0,fe0,be0,fs1,md0,wd0,DID01
713,sd0,fe0,be0,fs1,md0,wd0,DID02
714,sd0,fe1,be0,fs0,md0,wd0,DID01
715,sd0,fe1,be0,fs0,md0,wd0,DID01
716,sd0,fe0,be0,fs0,md1,wd0,DID02
717,sd0,fe0,be0,fs0,md1,wd0,DID01
718,sd0,fe0,be0,fs1,md0,wd0,DID01
719,sd0,fe0,be0,fs1,md0,wd0,DID02
720,sd0,fe1,be0,fs0,md0,wd0,DID02
721,sd0,fe1,be0,fs0,md0,wd0,DID02
722,sd0,fe0,be0,fs0,md1,wd0,DID01
723,sd0,fe0,be0,fs0,md0,wd0,DID03
724,sd0,fe0,be0,fs1,md0,wd0,DID01
725,sd0,fe1,be0,fs0,md0,wd0,DID02
726,sd0,fe0,be0,fs0,md1,wd0,DID01
727,sd0,fe0,be0,fs0,md0,wd0,DID03
728,sd0,fe0,be0,fs0,md1,wd0,DID01
729,sd0,fe0,be0,fs0,md1,wd0,DID02
730,sd0,fe0,be0,fs0,md1,wd0,DID01
731,sd0,fe0,be0,fs1,md0,wd0,DID02
732,sd0,fe0,be0,fs1,md0,wd0,DID01
733,sd0,fe1,be0,fs0,md0,wd0,DID02
734,sd0,fe1,be0,fs0,md0,wd0,DID01
735,sd0,fe1,be0,fs0,md0,wd0,DID02
736,sd0,fe1,be0,fs0,md0,wd0,DID01
737,sd0,fe1,be0,fs0,md0,wd0,DID01
738,sd0,fe1,be0,fs0,md0,wd0,DID02
739,sd0,fe0,be0,fs1,md0,wd0,DID02
740,sd0,fe0,be0,fs1,md0,wd0,DID01
741,sd0,fe0,be0,fs1,md0,wd0,DID02
742,sd0,fe1,be0,fs0,md0,wd0,DID01
743,sd1,fe1,be0,fs0,md0,wd0,DID01
744,sd1,fe0,be0,fs0,md1,wd1,DID01
745,sd0,fe0,be0,fs0,md1,wd1,DID01
746,sd0,fe1,be0,fs0,md0,wd0,DID01
747,sd1,fe1,be0,fs0,md0,wd0,DID01
748,sd1,fe1,be0,fs0,md0,wd0,DID01
749,sd0,fe1,be0,fs0,md0,wd0,DID01
750,sd0,fe0,be0,fs0,md1,wd1,DID01
751,sd0,fe0,be0,fs0,md1,wd1,DID01
752,sd1,fe0,be0,fs0,md1,wd1,DID01
753,sd1,fe0,be0,fs0,md1,wd1,DID01
754,sd1,fe0,be0,fs0,md1,wd1,DID01
755,sd0,fe0,be0,fs0,md1,wd1,DID01
756,sd0,fe0,be0,fs0,md1,wd1,DID01
757,sd0,fe1,be0,fs0,md0,wd0,DID01
758,sd1,fe1,be0,fs0,md0,wd0,DID01
759,sd0,fe0,be0,fs1,md0,wd0,DID01
760,sd0,fe0,be0,fs1,md0,wd0,DID01
761,sd1,fe0,be0,fs1,md0,wd0,DID01
762,sd0,fe1,be0,fs0,md0,wd0,DID01
763,sd1,fe1,be0,fs0,md0,wd0,DID01
764,sd0,fe1,be0,fs0,md0,wd0,DID01
765,sd1,fe1,be0,fs0,md0,wd0,DID01
766,sd0,fe0,be0,fs0,md1,wd1,DID01
767,sd1,fe0,be0,fs0,md1,wd1,DID01
768,sd1,fe0,be0,fs0,md1,wd1,DID01
769,sd1,fe0,be0,fs0,md1,wd1,DID01
770,sd0,fe0,be0,fs0,md1,wd1,DID01
771,sd1,fe0,be0,fs1,md0,wd0,DID01
772,sd0,fe0,be0,fs1,md0,wd0,DID01
773,sd1,fe0,be0,fs1,md0,wd0,DID01
774,sd0,fe0,be0,fs1,md0,wd0,DID01
775,sd0,fe1,be0,fs0,md0,wd0,DID01
776,sd1,fe1,be0,fs0,md0,wd0,DID01
777,sd1,fe1,be0,fs0,md0,wd0,DID01
778,sd0,fe0,be0,fs0,md0,wd0,DID02
779,sd0,fe0,be0,fs0,md0,wd0,DID02
780,sd0,fe0,be0,fs0,md0,wd0,DID02
781,sd0,fe0,be0,fs0,md0,wd0,DID02
782,sd1,fe1,be0,fs0,md0,wd0,DID02
783,sd1,fe1,be0,fs0,md0,wd0,DID02
784,sd0,fe1,be0,fs0,md0,wd0,DID02
785,sd1,fe1,be0,fs0,md0,wd0,DID02
786,sd0,fe1,be0,fs0,md0,wd0,DID02
787,sd0,fe1,be0,fs0,md0,wd0,DID02
788,sd0,fe1,be0,fs0,md0,wd0,DID02
789,sd1,fe1,be0,fs0,md0,wd0,DID02
790,sd1,fe0,be0,fs0,md1,wd1,DID02
791,sd1,fe0,be0,fs0,md1,wd1,DID02
792,sd0,fe0,be0,fs0,md1,wd1,DID02
793,sd1,fe0,be0,fs0,md1,wd1,DID02
794,sd0,fe0,be0,fs0,md1,wd1,DID02
795,sd1,fe0,be0,fs0,md0,wd0,DID02
796,sd0,fe0,be0,fs0,md0,wd0,DID02
797,sd1,fe0,be0,fs0,md0,wd0,DID01
798,sd0,fe0,be0,fs0,md0,wd0,DID01
799,sd0,fe0,be0,fs0,md0,wd0,DID02
800,sd1,fe0,be0,fs0,md0,wd0,DID02
801,sd0,fe0,be0,fs0,md0,wd0,DID01
802,sd1,fe0,be0,fs0,md0,wd0,DID02
803,sd1,fe0,be0,fs0,md0,wd0,DID01
804,sd0,fe0,be0,fs0,md0,wd0,DID01
805,sd1,fe0,be0,fs0,md0,wd0,DID02
806,sd0,fe0,be0,fs0,md0,wd0,DID02
807,sd1,fe0,be0,fs0,md0,wd0,DID01
808,sd1,fe0,be0,fs0,md0,wd0,DID02
809,sd1,fe0,be0,fs0,md0,wd0,DID01
810,sd0,fe1,be0,fs0,md0,wd0,DID01
811,sd1,fe1,be0,fs0,md0,wd0,DID01
812,sd1,fe1,be0,fs0,md0,wd0,DID02
813,sd0,fe1,be0,fs0,md0,wd0,DID01
814,sd1,fe0,be0,fs0,md1,wd1,DID01
815,sd1,fe0,be0,fs0,md1,wd1,DID02
816,sd0,fe0,be0,fs0,md1,wd1,DID01
817,sd1,fe0,be0,fs0,md1,wd1,DID02
818,sd1,fe0,be0,fs0,md1,wd1,DID01
819,sd0,fe1,be0,fs0,md0,wd0,DID02
820,sd1,fe1,be0,fs0,md0,wd0,DID02
821,sd1,fe0,be0,fs0,md1,wd1,DID01
822,sd0,fe0,be0,fs0,md1,wd1,DID02
823,sd0,fe0,be0,fs0,md0,wd0,DID02
824,sd0,fe0,be0,fs0,md0,wd0,DID01
825,sd1,fe0,be0,fs0,md0,wd0,DID02
826,sd1,fe0,be0,fs0,md0,wd0,DID01
827,sd0,fe0,be0,fs0,md0,wd0,DID02
828,sd1,fe0,be0,fs0,md0,wd0,DID02
829,sd0,fe0,be0,fs0,md0,wd0,DID01
830,sd0,fe0,be0,fs0,md0,wd0,DID02
831,sd0,fe1,be0,fs0,md0,wd0,DID01
832,sd0,fe1,be0,fs0,md0,wd0,DID01
833,sd1,fe0,be0,fs0,md1,wd1,DID01
834,sd1,fe0,be0,fs0,md1,wd1,DID01
835,sd0,fe1,be0,fs0,md0,wd0,DID01
836,sd0,fe1,be0,fs0,md0,wd0,DID01
837,sd0,fe0,be0,fs0,md1,wd1,DID01
838,sd1,fe0,be0,fs0,md1,wd1,DID01
839,sd0,fe0,be0,fs0,md0,wd0,DID01
840,sd1,fe0,be0,fs0,md0,wd0,DID02
841,sd0,fe0,be0,fs0,md0,wd0,DID01
842,sd0,fe0,be0,fs0,md0,wd0,DID01
843,sd1,fe1,be0,fs0,md0,wd0,DID02
844,sd1,fe1,be0,fs0,md0,wd0,DID02
845,sd0,fe0,be0,fs0,md1,wd1,DID01
846,sd1,fe0,be0,fs0,md1,wd1,DID02
847,sd0,fe1,be0,fs0,md0,wd0,DID01
848,sd1,fe1,be0,fs0,md0,wd0,DID01
849,sd0,fe1,be0,fs0,md0,wd0,DID01
850,sd1,fe1,be0,fs0,md0,wd0,DID02
851,sd0,fe0,be0,fs0,md1,wd1,DID02
852,sd1,fe0,be0,fs0,md1,wd1,DID01
853,sd1,fe0,be0,fs0,md1,wd1,DID02
854,sd1,fe0,be0,fs0,md1,wd1,DID01
855,sd1,fe0,be0,fs0,md1,wd1,DID02
856,sd1,fe0,be0,fs0,md0,wd0,DID01
857,sd1,fe0,be0,fs0,md0,wd0,DID01
858,sd1,fe0,be0,fs0,md0,wd0,DID02
859,sd0,fe0,be0,fs0,md0,wd0,DID03
860,sd0,fe0,be0,fs0,md0,wd0,DID01
861,sd1,fe0,be0,fs0,md0,wd0,DID02
862,sd1,fe0,be0,fs0,md0,wd0,DID02
863,sd0,fe0,be0,fs0,md0,wd0,DID02
864,sd1,fe0,be0,fs0,md0,wd0,DID02
865,sd0,fe0,be0,fs0,md0,wd0,DID02
866,sd1,fe0,be0,fs0,md0,wd0,DID02
867,sd1,fe0,be0,fs0,md1,wd1,DID02
868,sd0,fe0,be0,fs0,md1,wd1,DID02
869,sd1,fe0,be0,fs0,md1,wd1,DID02
870,sd1,fe0,be0,fs0,md1,wd1,DID02
871,sd0,fe0,be0,fs0,md1,wd1,DID03
872,sd0,fe0,be0,fs0,md0,wd0,DID03
873,sd0,fe0,be0,fs0,md0,wd0,DID03
874,sd0,fe0,be0,fs0,md0,wd0,DID03
875,sd0,fe0,be0,fs0,md0,wd0,DID03
876,sd0,fe0,be0,fs0,md0,wd0,DID03
877,sd0,fe0,be0,fs0,md0,wd0,DID03
878,sd0,fe0,be0,fs0,md0,wd0,DID03
879,sd0,fe0,be0,fs0,md0,wd0,DID03
880,sd0,fe0,be0,fs0,md0,wd0,DID03
881,sd0,fe0,be0,fs0,md0,wd0,DID01
882,sd1,fe0,be0,fs0,md0,wd0,DID01
883,sd0,fe0,be0,fs0,md0,wd0,DID01
884,sd0,fe0,be0,fs0,md0,wd0,DID01
885,sd1,fe0,be0,fs0,md1,wd1,DID01
886,sd1,fe0,be0,fs0,md1,wd1,DID01
887,sd1,fe0,be0,fs0,md1,wd1,DID01
888,sd0,fe0,be0,fs0,md1,wd1,DID01
889,sd1,fe0,be0,fs0,md1,wd1,DID01
890,sd0,fe0,be0,fs0,md1,wd1,DID01
891,sd0,fe0,be0,fs0,md0,wd0,DID03
892,sd0,fe0,be0,fs0,md0,wd0,DID03
893,sd0,fe0,be0,fs0,md0,wd0,DID03
894,sd0,fe0,be0,fs0,md0,wd0,DID03
895,sd0,fe0,be0,fs0,md0,wd0,DID03
896,sd0,fe0,be0,fs0,md0,wd0,DID03
897,sd0,fe0,be0,fs0,md0,wd0,DID03
898,sd0,fe0,be0,fs0,md0,wd0,DID03
899,sd0,fe0,be0,fs0,md0,wd0,DID03
900,sd0,fe0,be0,fs0,md0,wd0,DID03
901,sd1,fe0,be0,fs0,md1,wd1,DID01
902,sd0,fe0,be0,fs0,md1,wd1,DID01
903,sd0,fe0,be0,fs0,md1,wd1,DID01
904,sd0,fe0,be0,fs0,md0,wd0,DID01
905,sd1,fe0,be0,fs0,md0,wd0,DID01
906,sd1,fe0,be0,fs0,md0,wd0,DID01
907,sd0,fe0,be0,fs0,md0,wd0,DID01
908,sd0,fe1,be0,fs0,md0,wd0,DID01
909,sd1,fe1,be0,fs0,md0,wd0,DID01
910,sd0,fe0,be0,fs0,md1,wd1,DID01
911,sd1,fe0,be0,fs0,md1,wd1,DID02
912,sd0,fe1,be0,fs0,md0,wd0,DID02
913,sd1,fe1,be0,fs0,md0,wd0,DID02
914,sd1,fe0,be0,fs0,md1,wd1,DID02
915,sd1,fe0,be0,fs0,md1,wd1,DID02
916,sd0,fe0,be0,fs0,md0,wd0,DID02
917,sd0,fe0,be0,fs0,md0,wd0,DID02
918,sd1,fe0,be0,fs0,md0,wd0,DID02
919,sd1,fe0,be0,fs0,md1,wd1,DID02
920,sd0,fe0,be0,fs0,md1,wd1,DID02
921,sd0,fe0,be0,fs0,md1,wd1,DID02
922,sd1,fe0,be0,fs0,md1,wd1,DID02
923,sd0,fe0,be0,fs0,md1,wd1,DID01
924,sd0,fe0,be0,fs0,md1,wd1,DID01
925,sd1,fe0,be0,fs0,md1,wd1,DID02
926,sd1,fe0,be0,fs0,md1,wd1,DID01
927,sd1,fe0,be0,fs0,md1,wd1,DID02
928,sd0,fe0,be0,fs0,md1,wd1,DID01
929,sd1,fe0,be0,fs0,md0,wd0,DID01
930,sd0,fe0,be0,fs0,md0,wd0,DID02
931,sd1,fe0,be0,fs0,md0,wd0,DID01
932,sd1,fe0,be0,fs0,md0,wd0,DID03
933,sd1,fe0,be0,fs0,md0,wd0,DID03
934,sd1,fe0,be0,fs0,md0,wd0,DID02
935,sd1,fe0,be0,fs0,md0,wd0,DID01
936,sd1,fe0,be0,fs0,md0,wd0,DID03
937,sd1,fe0,be0,fs0,md0,wd0,DID01
938,sd1,fe0,be0,fs0,md0,wd0,DID03
939,sd1,fe0,be0,fs0,md0,wd0,DID02
940,sd1,fe0,be0,fs0,md0,wd0,DID01
941,sd1,fe0,be0,fs0,md0,wd0,DID02
942,sd1,fe0,be0,fs0,md0,wd0,DID02
943,sd1,fe0,be0,fs0,md0,wd0,DID01
944,sd1,fe0,be0,fs0,md0,wd0,DID02
945,sd1,fe0,be0,fs0,md0,wd0,DID01
946,sd1,fe0,be0,fs0,md0,wd0,DID02
947,sd1,fe0,be0,fs0,md0,wd0,DID02
948,sd1,fe0,be0,fs0,md0,wd0,DID01
949,sd1,fe0,be0,fs0,md0,wd0,DID02
950,sd1,fe0,be0,fs0,md0,wd0,DID01
951,sd1,fe0,be0,fs0,md0,wd0,DID02
952,sd1,fe0,be0,fs0,md0,wd0,DID03
953,sd1,fe0,be0,fs0,md0,wd0,DID02
954,sd1,fe0,be0,fs0,md0,wd0,DID02
955,sd1,fe0,be0,fs0,md0,wd0,DID01
956,sd1,fe0,be0,fs0,md0,wd0,DID02
957,sd1,fe0,be0,fs0,md0,wd0,DID01
958,sd1,fe0,be0,fs0,md0,wd0,DID02
959,sd1,fe0,be0,fs0,md0,wd0,DID01
960,sd1,fe0,be0,fs0,md0,wd0,DID03
961,sd1,fe0,be0,fs0,md0,wd0,DID03
962,sd0,fe0,be0,fs0,md0,wd0,DID02
963,sd0,fe0,be0,fs0,md0,wd0,DID02
964,sd0,fe0,be0,fs0,md0,wd0,DID03
