userid,softwaredevelopment,frontenddev,backenddev,fullstack,mobiledevelopment,webapplicationdevelopment,degreeid
113,sd0,fe0,be0,fs0,md0,wd0,DID03
114,sd1,fe0,be0,fs0,md0,wd0,DID03
115,sd1,fe0,be0,fs0,md1,wd0,DID02
116,sd0,fe0,be0,fs0,md1,wd0,DID02
117,sd1,fe0,be0,fs0,md1,wd0,DID02
118,sd0,fe0,be0,fs0,md1,wd0,DID02
119,sd0,fe0,be0,fs0,md1,wd0,DID02
120,sd1,fe0,be0,fs0,md1,wd0,DID02
121,sd1,fe0,be0,fs0,md1,wd0,DID02
122,sd0,fe0,be0,fs0,md0,wd0,DID02
123,sd1,fe0,be0,fs0,md0,wd0,DID02
124,sd0,fe0,be0,fs0,md1,wd0,DID02
125,sd1,fe0,be0,fs0,md0,wd0,DID03
126,sd1,fe0,be0,fs0,md0,wd0,DID03
127,sd0,fe0,be0,fs0,md0,wd0,DID03
128,sd0,fe0,be0,fs0,md0,wd0,DID03
129,sd0,fe0,be0,fs0,md0,wd0,DID03
130,sd0,fe0,be0,fs0,md0,wd0,DID03
131,sd0,fe0,be0,fs0,md0,wd0,DID03
132,sd0,fe0,be0,fs0,md0,wd0,DID03
133,sd0,fe0,be0,fs0,md0,wd0,DID03
134,sd0,fe0,be0,fs0,md1,wd0,DID02
135,sd0,fe0,be0,fs0,md1,wd0,DID02
136,sd1,fe0,be0,fs0,md1,wd0,DID02
137,sd1,fe0,be0,fs0,md1,wd0,DID02
138,sd0,fe0,be0,fs0,md1,wd0,DID03
139,sd0,fe0,be0,fs0,md1,wd0,DID03
140,sd0,fe0,be0,fs0,md1,wd0,DID01
141,sd1,fe0,be0,fs1,md0,wd1,DID02
142,sd0,fe0,be0,fs1,md0,wd1,DID02
143,sd1,fe0,be0,fs1,md0,wd1,DID02
144,sd0,fe0,be0,fs1,md0,wd1,DID01
145,sd0,fe0,be0,fs1,md0,wd1,DID02
146,sd1,fe0,be0,fs1,md0,wd1,DID02
147,sd1,fe0,be0,fs0,md1,wd0,DID01
148,sd0,fe0,be0,fs0,md1,wd0,DID01
149,sd0,fe0,be0,fs0,md0,wd0,DID02
150,sd1,fe0,be0,fs0,md0,wd0,DID01
151,sd0,fe0,be0,fs0,md1,wd0,DID01
152,sd0,fe0,be0,fs0,md0,wd0,DID02
153,sd1,fe0,be0,fs0,md0,wd0,DID02
154,sd0,fe0,be0,fs0,md1,wd0,DID02
155,sd1,fe0,be0,fs0,md1,wd0,DID01
156,sd1,fe0,be0,fs0,md1,wd0,DID01
157,sd0,fe0,be0,fs0,md0,wd0,DID02
158,sd0,fe0,be0,fs0,md0,wd0,DID02
159,sd1,fe0,be0,fs0,md1,wd0,DID01
160,sd0,fe0,be0,fs1,md0,wd1,DID02
161,sd0,fe0,be0,fs1,md0,wd1,DID02
162,sd0,fe0,be0,fs1,md0,wd1,DID02
163,sd0,fe0,be0,fs1,md0,wd1,DID02
164,sd1,fe0,be0,fs0,md0,wd0,DID03
165,sd0,fe0,be0,fs0,md0,wd0,DID03
166,sd0,fe0,be0,fs0,md0,wd0,DID03
167,sd1,fe0,be0,fs0,md0,wd0,DID03
168,sd1,fe0,be0,fs0,md0,wd0,DID03
169,sd1,fe0,be0,fs0,md0,wd0,DID03
170,sd0,fe0,be0,fs0,md0,wd0,DID03
171,sd1,fe0,be0,fs0,md0,wd0,DID03
172,sd0,fe0,be0,fs0,md0,wd0,DID03
173,sd1,fe0,be0,fs0,md0,wd0,DID03
174,sd1,fe0,be0,fs0,md0,wd0,DID03
175,sd1,fe0,be0,fs0,md0,wd0,DID03
176,sd0,fe0,be0,fs0,md0,wd0,DID03
177,sd1,fe0,be0,fs0,md0,wd0,DID03
178,sd1,fe0,be0,fs0,md0,wd0,DID03
179,sd0,fe0,be0,fs0,md0,wd0,DID03
180,sd1,fe0,be0,fs0,md0,wd0,DID03
181,sd0,fe0,be0,fs0,md0,wd0,DID03
182,sd0,fe0,be0,fs0,md0,wd0,DID03
183,sd1,fe0,be0,fs0,md0,wd0,DID03
184,sd1,fe0,be0,fs0,md0,wd0,DID03
185,sd0,fe0,be0,fs0,md0,wd0,DID03
186,sd0,fe0,be0,fs0,md0,wd0,DID03
187,sd1,fe0,be0,fs0,md0,wd0,DID03
188,sd0,fe0,be0,fs0,md0,wd0,DID03
189,sd1,fe0,be0,fs1,md0,wd1,DID01
190,sd0,fe0,be0,fs0,md0,wd0,DID03
191,sd1,fe0,be0,fs0,md0,wd0,DID03
192,sd1,fe0,be0,fs0,md0,wd0,DID03
193,sd1,fe0,be0,fs0,md0,wd0,DID03
194,sd0,fe0,be0,fs0,md1,wd0,DID02
195,sd0,fe0,be0,fs0,md1,wd0,DID01
196,sd1,fe0,be0,fs0,md1,wd0,DID01
197,sd0,fe0,be0,fs0,md0,wd0,DID02
198,sd1,fe0,be0,fs0,md0,wd0,DID02
199,sd0,fe0,be0,fs0,md0,wd0,DID01
200,sd1,fe0,be0,fs0,md0,wd0,DID01
201,sd1,fe0,be0,fs0,md0,wd0,DID01
202,sd0,fe0,be0,fs0,md0,wd0,DID02
203,sd0,fe0,be0,fs0,md1,wd1,DID02
204,sd1,fe0,be0,fs0,md1,wd1,DID01
205,sd1,fe0,be0,fs0,md1,wd1,DID02
206,sd0,fe0,be0,fs0,md1,wd1,DID02
207,sd1,fe0,be0,fs0,md1,wd0,DID01
208,sd0,fe0,be0,fs0,md1,wd0,DID01
209,sd1,fe0,be0,fs0,md1,wd0,DID02
210,sd0,fe0,be0,fs0,md1,wd1,DID02
211,sd0,fe0,be0,fs0,md1,wd1,DID01
212,sd1,fe0,be0,fs0,md1,wd1,DID02
213,sd0,fe0,be0,fs0,md0,wd0,DID02
214,sd0,fe0,be0,fs0,md0,wd0,DID01
215,sd1,fe0,be0,fs0,md0,wd0,DID01
216,sd1,fe0,be0,fs0,md0,wd0,DID02
217,sd1,fe0,be0,fs0,md0,wd0,DID02
218,sd0,fe0,be0,fs0,md1,wd1,DID02
219,sd0,fe0,be0,fs0,md1,wd1,DID01
220,sd1,fe0,be0,fs0,md1,wd1,DID01
221,sd0,fe0,be0,fs0,md1,wd1,DID02
222,sd1,fe0,be1,fs0,md0,wd0,DID02
223,sd1,fe0,be1,fs0,md0,wd0,DID01
224,sd1,fe0,be1,fs0,md0,wd0,DID04
225,sd1,fe0,be1,fs0,md0,wd0,DID04
226,sd1,fe0,be1,fs0,md0,wd0,DID04
227,sd1,fe0,be0,fs1,md0,wd1,DID04
